7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250512.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acme.sh 3.1.1-1
acorn 1:8.12.0-1
acpi 1.7-4
acpi_call-dkms 1.2.2-2
acpid 2.0.34-2
activitywatch-bin 0.13.2-1
ada 3.2.1-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
aegisub 3.4.2-4
aha 0.5.1-3
akonadi-contacts 25.04.3-1
akonadi-mime 25.04.3-1
alsa-card-profiles 1:1.4.6-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20250708-1
android-sdk-platform-tools 36.0.0-1
android-udev 20250525-1
anthy 9100h-7
antimicrox 3.5.1-1
aom 3.12.1-1
apparmor 4.1.1-1
appmenu-gtk-module 25.04-1
appstream 1.0.5-2
appstream-glib 0.8.3-2
appstream-qt 1.0.5-2
apr 1.7.6-1
apr-util 1.6.3-2
aqbanking 6.6.0-2
arch-install-scripts 29-1
archlinux-keyring 20250707-1
archlinuxcn-keyring 20250531-1
ares-decrypt 0.11.0-1
argon2 20190702-6
aria2-fast 1.37.0-4
ariang-git 1.3.10.r2.gee48603-1
aribb24 1.0.3-4
aribb25 0.2.7-3
ark 25.04.3-1
asciicaesar 2.2.1-1
asciinema 3.0.0rc.5-1
asp 8-1
aspell 0.60.8.1-2
assimp 6.0.2-1
at-spi2-core 2.56.3-1
atkmm 2.28.4-1
atomicparsley 20240608.083822.1ed9031-1
atool 0.39.0-10
attica 6.16.0-1
attr 2.5.2-1
aubio 0.4.9-21
audacity 1:3.7.4-2
audiocd-kio 25.04.3-1
audiofile 0.3.6-10
audit 4.0.5-1
aurorae 6.4.2-1
autoconf 2.72-1
automake 1.18-1
avahi 1:0.8+r194+g3f79789-3
avisynthplus 3.7.5-1
axel 2.17.14-1
ayatana-ido 0.10.4-1
azure-cli 2.75.0-1
babl 0.1.114-1
baloo 6.16.0-1
baloo-widgets 25.04.3-1
bandwhich 0.23.1-1
base 3-2
base-devel 1-2
base-ex-cli 0.4.1-1
base91 0.6.0-6
bash 5.3.0-1
bash-completion 2.16.0-1
bash2048 1.0-1
bashtop 0.9.25-2
bat 0.25.0-4
bc 1.08.2-1
bcg729 1.1.1-2
bdf-unifont 16.0.04-1
bdf-unifont-extra 16.0.03-1
beep 1.4.12-2
bind 9.20.10-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blas 3.12.1-2
bleachbit 5.0.0-1
bless 0.6.3-2
blueberry 1.4.8-2
bluedevil 1:6.4.2-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-qt 6.16.0-1
bluez-tools 0.2.0-6
bluez-utils 5.83-1
bolt 0.9.9-1
boost 1.88.0-3
boost-libs 1.88.0-3
botan2 2.19.5-2
bpf 6.15-1
breeze 6.4.2-1
breeze-grub 6.4.2-1
breeze-gtk 6.4.2-1
breeze-icons 6.16.0-1
breezy 3.3.12-1
brltty 6.7-5
brotli 1.1.0-3
btop 1.4.4-1
btrfs-assistant 2.2-1
btrfs-progs 6.15-1
btrfsmaintenance 0.5.2-1
bubblewrap 0.11.0-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.113.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cachyos-keyring 20240331-1
cachyos-mirrorlist 22-1
cachyos-v3-mirrorlist 22-1
caddy 2.10.0-3
cairo 1.18.4-1
cairomm 1.14.5-1
calf 0.90.8-1
cantarell-fonts 1:0.303.1-2
capnproto 1.2.0-1
capstone 5.0.6-1
catdoc 0.95-6
catimg 2.7.0-1
cblas 3.12.1-2
cbonsai 1.4.2-1
ccache 4.11.3-2
ccid 1.6.2-1
cdparanoia 10.2-9
cemu 2.6-3
cfitsio 1:4.6.2-1
chafa 1.16.0-1
checkra1n-cli 0.12.4-3
checkra1n-gui 0.12.4-7
cheese 44.1-3
chromaprint 1.5.1-10
chromium 138.0.7204.92-1
cifs-utils 7.4-1
ciphey 5.14.0-7
clang 20.1.7-1
classicube-git 1.3.6.r463.g90a20b207-1
clinfo 3.0.23.01.25-1
cloudflared 2025.7.0-1
